SONG,ALBUM,DATE,TRACK NO,DURATION M,DURATION S,TOTAL S,PLAYS,WORDCOUNT,UK CHART,LP,CS,CD,DL,DVD,COVER?,"FEATURE SONG? IDK, WHEN YOU HAVE A SINGLE FOR AN ALBUM",CHART IF SINGLE,LEMMY,LARRY WALLIS,LUCAS FOX,PHIL TAYLOR,EDDIE CLARKE,BRIAN ROBERTSON,PHIL CAMPBELL,MICHAEL BURSTON,PETE GILL,MIKKEY DEE,DADS BDAY,DADS AGE D,DADS AGE Y,LABEL,EXPLICIT?,MUSIC VIDEO?
Traitor,Rock 'n' Roll,9/5/1987,6,3,17,197,349356,209,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
Dogs,Rock 'n' Roll,9/5/1987,7,3,47,227,407845,172,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
All for You,Rock 'n' Roll,9/5/1987,8,4,10,250,521234,178,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
Boogeyman,Rock 'n' Roll,9/5/1987,9,3,4,184,443859,211,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
The One to Sing the Blues,1916,2/26/1991,1,3,7,187,1361531,250,24,1,1,1,0,0,0,1,45,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
I'm so Bad (Baby I Don't Care),1916,2/26/1991,2,3,13,193,2617101,201,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,1.00
No Voice In The Sky,1916,2/26/1991,3,4,12,252,1976516,159,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Going To Brazil,1916,2/26/1991,4,2,29,149,3847974,142,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Nightmare/The Dreamtime,1916,2/26/1991,5,4,40,280,507306,123,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Love Me Forever,1916,2/26/1991,6,5,27,327,13919545,221,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Angel City,1916,2/26/1991,7,3,57,237,668308,198,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Make My Day,1916,2/26/1991,8,4,24,264,519062,363,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Ramones,1916,2/26/1991,9,1,25,85,5717795,105,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Shut You Down,1916,2/26/1991,10,2,40,160,816204,216,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
1916,1916,2/26/1991,11,3,44,224,3542049,237,24,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"7,760.00",21.26,Epic,0.00,0.00
Stand,March Or Die,8/14/1992,1,3,31,211,1189283,224,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
Cat Scratch Fever,March Or Die,8/14/1992,2,3,52,232,4052011,179,60,1,1,1,0,0,1,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
Bad Religion,March Or Die,8/14/1992,3,5,1,301,1898170,258,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
Jack The Ripper,March Or Die,8/14/1992,4,4,38,278,736486,273,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
I Ain't No Nice Guy,March Or Die,8/14/1992,5,4,15,255,7844312,196,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,1.00
Hellraiser,March Or Die,8/14/1992,6,4,35,275,22215413,186,60,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,1.00
Asylum Choir,March Or Die,8/14/1992,7,3,40,220,561750,196,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
Too Good To Be True,March Or Die,8/14/1992,8,3,36,216,1757052,258,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
You Better Run,March Or Die,8/14/1992,9,4,50,290,1559982,129,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
Name In Vain,March Or Die,8/14/1992,10,3,4,184,788400,244,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
March Or Die,March Or Die,8/14/1992,11,5,41,341,717707,331,60,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,1,11/28/1969,"8,295.00",22.73,Epic,0.00,0.00
On Your Feet Or On Your Knees,Bastards,11/29/1993,1,2,35,155,613233,299,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Burner,Bastards,11/29/1993,2,2,54,174,1194953,252,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,1.00
Death Or Glory,Bastards,11/29/1993,3,4,52,292,951584,303,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
I Am The Sword,Bastards,11/29/1993,4,4,28,268,951584,219,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Born To Raise Hell,Bastards,11/29/1993,5,4,59,299,8793776,347,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,1.00
Don't Let Daddy Kiss Me,Bastards,11/29/1993,6,4,7,247,734546,270,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Bad Woman,Bastards,11/29/1993,7,3,17,197,576648,219,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Liar,Bastards,11/29/1993,8,4,13,253,701765,311,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Lost In The Ozone,Bastards,11/29/1993,9,3,28,208,455194,179,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
I'm Your Man,Bastards,11/29/1993,10,3,29,209,381755,179,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
We Bring The Shake,Bastards,11/29/1993,11,3,47,227,328088,290,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Devils,Bastards,11/29/1993,12,5,59,359,409135,188,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"8,767.00",24.02,ZYX,0.00,0.00
Sacrifice,Sacrifice,7/11/1995,1,3,16,196,867305,111,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,1.00
Sex & Death,Sacrifice,7/11/1995,2,2,2,122,348970,222,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Over Your Shoulder,Sacrifice,7/11/1995,3,3,17,197,355029,181,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
War for War,Sacrifice,7/11/1995,4,3,7,187,204094,246,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Order / Fade to Black,Sacrifice,7/11/1995,5,4,2,242,181903,186,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Dog-Face Boy,Sacrifice,7/11/1995,6,3,25,205,263836,145,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
All Gone to Hell,Sacrifice,7/11/1995,7,3,41,221,188370,272,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Make 'Em Blind,Sacrifice,7/11/1995,8,4,26,266,143772,239,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Don't Waste Your Time,Sacrifice,7/11/1995,9,2,32,152,216599,255,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,1.00,0.00
In Another Time,Sacrifice,7/11/1995,10,3,9,189,208585,183,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Out of the Sun,Sacrifice,7/11/1995,11,3,43,223,223426,189,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,1,0,1,11/28/1969,"9,356.00",25.63,Steamhammer,0.00,0.00
Civil War,Overnight Sensation,10/15/1996,1,3,2,182,309755,128,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Crazy Like a Fox,Overnight Sensation,10/15/1996,2,4,32,272,244481,336,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
I Don't Believe a Word,Overnight Sensation,10/15/1996,3,6,31,391,1775806,352,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,1.00
Eat the Gun,Overnight Sensation,10/15/1996,4,2,13,133,169879,156,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Overnight Sensation,Overnight Sensation,10/15/1996,5,4,10,250,630396,209,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Love Can't Buy You Money,Overnight Sensation,10/15/1996,6,3,6,186,208872,180,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Broken,Overnight Sensation,10/15/1996,7,4,34,274,249633,210,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Them Not Me,Overnight Sensation,10/15/1996,8,2,47,167,176464,274,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Murder Show,Overnight Sensation,10/15/1996,9,3,3,183,154395,163,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Shake the World,Overnight Sensation,10/15/1996,10,3,29,209,136580,190,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Listen to Your Heart,Overnight Sensation,10/15/1996,11,3,45,225,175668,153,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"9,818.00",26.90,Steamhammer,0.00,0.00
Love for Sale,Snake Bite Love,3/10/1998,1,4,52,292,291131,198,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Dogs of War,Snake Bite Love,3/10/1998,2,3,38,218,306514,241,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Snake Bite Love,Snake Bite Love,3/10/1998,3,3,35,215,434207,268,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Assassin,Snake Bite Love,3/10/1998,4,4,48,288,127591,244,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Take the Blame,Snake Bite Love,3/10/1998,5,4,3,243,138271,298,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Dead and Gone,Snake Bite Love,3/10/1998,6,4,18,258,259201,277,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Night Side,Snake Bite Love,3/10/1998,7,3,37,217,103521,195,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Don't Lie to Me,Snake Bite Love,3/10/1998,8,3,59,239,157265,365,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Joy of Labour,Snake Bite Love,3/10/1998,9,4,52,292,131024,263,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
Desperate for You,Snake Bite Love,3/10/1998,10,3,27,207,115732,256,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,1.00,0.00
Better Off Dead,Snake Bite Love,3/10/1998,11,3,42,222,101599,212,171,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"10,329.00",28.30,Steamhammer,0.00,0.00
See Me Burning,We Are Motorhead,5/16/2000,1,2,59,179,554319,177,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,0.00
Slow Dance,We Are Motorhead,5/16/2000,2,4,29,269,357656,286,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,0.00
Stay Out of Jail,We Are Motorhead,5/16/2000,3,3,2,182,424723,151,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,0.00
God Save the Queen,We Are Motorhead,5/16/2000,4,3,19,199,1129837,185,91,1,0,1,0,0,1,1,93,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,1.00
Out to Lunch,We Are Motorhead,5/16/2000,5,3,26,206,221613,236,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,0.00
Wake the Dead,We Are Motorhead,5/16/2000,6,5,14,314,267459,371,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,0.00
One More Fucking Time,We Are Motorhead,5/16/2000,7,6,46,406,1443514,382,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,1.00,0.00
Stagefreight / Crash & Burn,We Are Motorhead,5/16/2000,8,3,2,182,246668,151,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,1.00,0.00
(Wearing Your) Heart on Your Sleeve,We Are Motorhead,5/16/2000,9,3,42,222,171339,404,91,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,1.00,0.00
We Are Motorhead,We Are Motorhead,5/16/2000,10,2,21,141,1804792,243,91,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,127.00",30.48,Steamhammer,0.00,0.00
Walk a Crooked Mile,Hammered,4/9/2002,1,5,51,351,426553,280,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Down the line,Hammered,4/9/2002,2,4,23,263,237092,288,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Brave New World,Hammered,4/9/2002,3,4,3,243,307093,254,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,1.00,1.00
Voices from the War,Hammered,4/9/2002,4,4,28,268,243138,393,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,1.00,0.00
Mine All Mine,Hammered,4/9/2002,5,4,12,252,177704,247,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Shut Your Mouth,Hammered,4/9/2002,6,4,6,246,259380,247,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Kill the World,Hammered,4/9/2002,7,3,39,219,166636,281,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Dr. Love,Hammered,4/9/2002,8,3,49,229,188109,366,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
No Remorse,Hammered,4/9/2002,9,5,17,317,157960,153,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Red Raw,Hammered,4/9/2002,10,4,3,243,186875,240,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,0.00
Serial Killer,Hammered,4/9/2002,11,1,41,101,184294,153,113,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"11,820.00",32.38,Steamhammer,0.00,1.00
Terminal Show,Inferno,6/22/2004,1,3,45,225,759621,331,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Killers,Inferno,6/22/2004,2,4,14,254,1244512,267,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
In the Name of Tragedy,Inferno,6/22/2004,3,3,3,183,9802969,312,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Suicide,Inferno,6/22/2004,4,5,7,307,696293,259,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Life's a Bitch,Inferno,6/22/2004,5,4,13,253,1490898,323,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,1.00
Down On Me,Inferno,6/22/2004,6,4,12,252,627717,262,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
In the Black,Inferno,6/22/2004,7,4,31,271,1042303,347,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Fight,Inferno,6/22/2004,8,3,42,222,634560,182,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,1.00,0.00
In the Year of the Wolf,Inferno,6/22/2004,9,4,17,257,734438,338,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Keys to the Kingdom,Inferno,6/22/2004,10,4,46,286,532660,269,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Smiling Like a Killer,Inferno,6/22/2004,11,2,44,164,1497641,284,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,0.00
Whorehouse Blues,Inferno,6/22/2004,12,3,52,232,5262640,190,95,1,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"12,625.00",34.59,Steamhammer,0.00,1.00
Sucker,Kiss of Death,8/29/2006,1,2,59,179,819361,247,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
One Night Stand,Kiss of Death,8/29/2006,2,3,5,185,683587,242,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Devil I Know,Kiss of Death,8/29/2006,3,3,0,180,624731,212,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Trigger,Kiss of Death,8/29/2006,4,3,53,233,689245,232,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Under the Gun,Kiss of Death,8/29/2006,5,4,44,284,449805,251,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
God Was Never on Your Side,Kiss of Death,8/29/2006,6,4,21,261,22591409,244,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Living in the Past,Kiss of Death,8/29/2006,7,3,45,225,553691,323,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Christine,Kiss of Death,8/29/2006,8,3,42,222,514550,271,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Sword of Glory,Kiss of Death,8/29/2006,9,3,57,237,523778,281,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Be My Baby,Kiss of Death,8/29/2006,10,3,40,220,1269983,226,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,1.00
Kingdom of the Worm,Kiss of Death,8/29/2006,11,4,8,248,336262,319,45,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Going Down,Kiss of Death,8/29/2006,12,3,35,215,347482,224,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
R.A.M.O.N.E.S.,Kiss of Death,8/29/2006,13,1,22,82,1194552,115,45,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"13,423.00",36.78,Steamhammer,0.00,0.00
Runaround Man,Motorizer,8/26/2008,1,2,56,176,877788,378,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Teach You How to Sing the Blues,Motorizer,8/26/2008,2,3,2,182,793249,302,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,1.00,0.00
When the Eagle Screams,Motorizer,8/26/2008,3,3,43,223,443641,321,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Rock Out,Motorizer,8/26/2008,4,2,6,126,4464467,179,32,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,1.00
One Short Life,Motorizer,8/26/2008,5,4,0,240,487903,295,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Buried Life,Motorizer,8/26/2008,6,3,12,192,471135,171,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
English Rose,Motorizer,8/26/2008,7,3,33,213,424547,293,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Back on the Chain,Motorizer,8/26/2008,8,3,24,204,332420,285,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Heroes,Motorizer,8/26/2008,9,4,54,294,486157,352,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Time Is Right,Motorizer,8/26/2008,10,3,13,193,290905,312,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
The Thousand Names of God,Motorizer,8/26/2008,11,4,33,273,388492,357,32,1,0,1,1,0,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,151.00",38.77,Steamhammer,0.00,0.00
Born To Lose,The World Is Yours,12/14/2010,1,4,1,241,3425861,271,45,1,0,1,1,1,0,0,,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,991.00",41.07,UDR,0.00,0.00
I Know How to Die,The World Is Yours,12/14/2010,2,3,19,199,1610209,217,45,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,991.00",41.07,UDR,0.00,1.00
Get Back In Line,The World Is Yours,12/14/2010,3,3,35,215,1294517,256,45,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,11/28/1969,"14,991.00",41.07,UDR,0.00,0.00
